Squirrel,Starblazer626,1
RenoMO,Icekiller72,0
Caviar,Brett,0
alert,Dirkenhymer,0
PWND,Happy,0
WinkyFace,SwaggyP,0
texasmathmaster,Strudels,0
DiskEye,Joush,0
Gio,CHAR,1
Cheese,Raxtus,0
Floofy,Swell,0
Creamy,Starblazer626,0
RenoMO,Caviar,1
UmbrionKnight,alert,0
Noodles,PWND,0
Hehe,WinkyFace,0
texasmathmaster,DiskEye,1
Lewton,CHAR,0
Cheese,Floofy,1
Creamy,Caviar,0
UmbrionKnight,Noodles,0
Hehe,DiskEye,0
Lewton,Floofy,0
Creamy,UmbrionKnight,0
Hehe,Lewton,0
Creamy,Hehe,1
Icekiller72,Brett,1
Strudels,Joush,0
Raxtus,Swell,1
Cheese,Squirrel,0
CHAR,Brett,0
texasmathmaster,Dirkenhymer,0
WinkyFace,Happy,1
PWND,SwaggyP,0
alert,Strudels,0
RenoMO,Gio,1
Starblazer626,Swell,1
Cheese,CHAR,0
texasmathmaster,Happy,1
PWND,alert,0
Gio,Swell,1
Noodles,Cheese,0
Caviar,Happy,1
Floofy,PWND,0
DiskEye,Swell,1
Noodles,Happy,1
Floofy,Swell,0
Lewton,Happy,0
UmbrionKnight,Floofy,1
Lewton,Floofy,0
Creamy,Floofy,0
Hehe,Creamy,1
Creamy,Hehe,0